primary_label,support,best_variant,best_auc,second_auc,sed_quality,sed_margin,sed_trust,auc_zscore,auc_minmax
sobtyr1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
socfly1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
sofspi1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
souant1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
soulap1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
souscr1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
spbant3,0,zscore,0.5,0.5,0.0,0.0,0.0,,
spispi1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
sptnig1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
squcuc1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
stbwoo2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
strcuc1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
strher2,2,zscore,0.5913598,0.47733712,0.17119923,1.0,0.28956753,0.5913598,0.47733712
strowl1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
swthum1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
swtman1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
tattin1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
thlwre1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
toctou1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
trokin,0,zscore,0.5,0.5,0.0,0.0,0.0,,
trsowl,26,zscore,0.66907287,0.38754794,0.4302428,1.0,0.4553554,0.66907287,0.38754794
undtin1,43,zscore,0.45179227,0.24686134,0.0,1.0,0.0,0.45179227,0.24686134
varant1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
watjac1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
wesfie1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
wfwduc1,1,zscore,0.4115983,0.20084865,0.0,1.0,0.0,0.4115983,0.20084865
whbant2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
whbwar2,0,zscore,0.5,0.5,0.0,0.0,0.0,,
whiwoo1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
whlspi1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
whnjay1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
whtdov,63,minmax,0.32567984,0.2440507,0.0,0.8162914,0.0,0.2440507,0.32567984
whwpic1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
y00678,0,zscore,0.5,0.5,0.0,0.0,0.0,,
yebcar,0,zscore,0.5,0.5,0.0,0.0,0.0,,
yebela1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
yecmac,0,zscore,0.5,0.5,0.0,0.0,0.0,,
yecpar,0,zscore,0.5,0.5,0.0,0.0,0.0,,
yehcar1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
yeofly1,0,zscore,0.5,0.5,0.0,0.0,0.0,,
