primary_label,common_name,class_name,support,oof_base_auc,oof_prior_auc,support_bucket,macro_risk_action,w_anchor,w_sed,w_private_probe,w_cnn_sidecar,risk_rank
ruftho1,Rufous-fronted Thornbird,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,115.11
ruftof1,Rusty-fronted Tody-Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,116.12
rumfly1,Rusty-margined Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,117.13
sabspa1,Saffron-billed Sparrow,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,118.14
saffin,Saffron Finch,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,119.15
saytan1,Sayaca Tanager,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,120.16
scadov1,Scaled Dove,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,121.17
schpar1,Scaly-headed Parrot,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,122.18
scther1,Scale-throated Hermit,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,123.19
shcfly1,Short-crested Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,124.2
shshaw,Sharp-shinned Hawk,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,125.21
shtnig1,Short-tailed Nighthawk,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,126.22
smbani,Smooth-billed Ani,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,127.23
smbtin1,Small-billed Tinamou,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,128.24
sobcac1,Solitary Cacique,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,129.25
sobtyr1,Southern Beardless Tyrannulet,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,130.26
socfly1,Social Flycatcher,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,131.27
sofspi1,Sooty-fronted Spinetail,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,132.28
souant1,Southern Antpipit,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,133.29
soulap1,Southern Lapwing,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,134.3
souscr1,Southern Screamer,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,135.31
spbant3,Spot-backed Antshrike,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,136.32
spispi1,Spix's Spinetail,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,137.33
sptnig1,Spot-tailed Nightjar,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,138.34
squcuc1,Common Squirrel-Cuckoo,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,139.35
stbwoo2,Straight-billed Woodcreeper,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,140.36
strcuc1,Striped Cuckoo,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,141.37
strowl1,Striped Owl,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,142.38
swthum1,Swallow-tailed Hummingbird,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,143.39
swtman1,Swallow-tailed Manakin,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,144.4
tattin1,Tataupa Tinamou,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,145.41
toctou1,Toco Toucan,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,147.42
trokin,Tropical Kingbird,Aves,0,,,zero,no_oof_evidence,0.6,0.25,0.15,0.0,148.43
