name,formula,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
th0.01_sl0.2_inv_eco_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91488667,0.21917808,0.52054795,0.01114442,0.99946899,0.52113253,0.24230043
th0.01_sl0.2_inv_eco_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91490531,0.21917808,0.52054795,0.01114442,0.99946868,0.52113263,0.24228631
th0.01_sl0.2_inv_eco_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91492142,0.21917808,0.52054795,0.01114442,0.99946838,0.52113273,0.24227248
th0.01_sl0.2_inv_eco_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91493833,0.23287671,0.52054795,0.01114442,0.99946807,0.52113283,0.24225894
th0.01_sl0.2_inv_eco_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91497308,0.23287671,0.52054795,0.01114442,0.99946747,0.52113303,0.24223274
th0.01_sl0.2_inv_eco_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91502589,0.23287671,0.52054795,0.01114442,0.99946655,0.52113333,0.24219563
th0.01_sl0.2_inv_eco_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91507663,0.23287671,0.52054795,0.01114442,0.99946534,0.52113374,0.24215023
th0.01_sl0.2_inv_eco_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91514544,0.23287671,0.52054795,0.01114442,0.99946381,0.52113424,0.24210007
th0.02_sl0.04_flat_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91495559,0.21917808,0.52054795,0.01114442,0.99946852,0.52113157,0.24225146
th0.02_sl0.04_flat_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91501024,0.23287671,0.52054795,0.01114442,0.99946783,0.52113124,0.24220876
th0.02_sl0.04_flat_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91506651,0.23287671,0.52054795,0.01114442,0.99946714,0.52113091,0.24216862
th0.02_sl0.04_flat_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91511127,0.23287671,0.52054795,0.01114442,0.99946645,0.52113059,0.24213106
th0.02_sl0.04_flat_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91515292,0.23287671,0.52054795,0.01114442,0.99946576,0.52113026,0.24209606
th0.02_sl0.04_flat_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91522414,0.23287671,0.52054795,0.01114442,0.99946438,0.52112960,0.24203377
th0.02_sl0.04_flat_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91532183,0.23287671,0.52054795,0.01114442,0.99946231,0.52112862,0.24195962
th0.02_sl0.04_flat_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91540674,0.23287671,0.52054795,0.01114442,0.99945956,0.52112731,0.24189679
th0.02_sl0.04_flat_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91542999,0.23287671,0.52054795,0.01114442,0.99945611,0.52112567,0.24187620
th0.02_sl0.04_entropy_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91490980,0.21917808,0.52054795,0.01114442,0.99946893,0.52113194,0.24228522
th0.02_sl0.04_entropy_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91495398,0.21917808,0.52054795,0.01114442,0.99946845,0.52113179,0.24225720
th0.02_sl0.04_entropy_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91498792,0.23287671,0.52054795,0.01114442,0.99946797,0.52113165,0.24223027
th0.02_sl0.04_entropy_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91502302,0.23287671,0.52054795,0.01114442,0.99946748,0.52113151,0.24220444
th0.02_sl0.04_entropy_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91505512,0.23287671,0.52054795,0.01114442,0.99946700,0.52113136,0.24217971
th0.02_sl0.04_entropy_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91511587,0.23287671,0.52054795,0.01114442,0.99946603,0.52113107,0.24213353
th0.02_sl0.04_entropy_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91518284,0.23287671,0.52054795,0.01114442,0.99946458,0.52113064,0.24207249
